map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001G01	001G01	mtgsp_001g01,mth1-8p19	73.2	73.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_37m7b	h2_37m7b		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_CysPr1	CysPr1		79.4	79.4	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_RLPO	RLPO		72.5	72.5	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h1_6m23g	h1_6m23g		14.1	14.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_151m16a	h2_151m16a		46.8	46.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_GSb	GSb	GS.B	53.2	53.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001C09	001C09		68.9	68.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001A07	001A07	001A07_3,mt018o15,mtgsp_001a07,mth2-18o15	61.5	61.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_7l7b	h2_7l7b		70.3	70.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_174d3b	h2_174d3b		62.2	62.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_164l16c	h2_164l16c		59.3	59.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_2b2b	h2_2b2b	b_002b02	62.9	62.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_71p5a	h2_71p5a	a_071p05	6.3	6.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_76a20b	h2_76a20b		58.5	58.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_006A02	006A02		1.5	1.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005C10	005C10	mt036j24,mtgsp_005c10,mth2-36j24	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_105b15c	h2_105b15c	c_105b15	59.2	59.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001A02	001A02	001A02_3,mtgsp_001a02,mth1-13b3	5.2	5.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005E06	005E06	005E06_2,mt033g10,mtgsp_005e06,mth2-33g10	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_95o22c	h2_95o22c		0	0	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_34h21b	h2_34h21b		49.3	49.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_1e24a	h2_1e24a		34.1	34.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_AW736703	AW736703		3.8	3.8	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_180m21a	h2_180m21a		48.4	48.4	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_MTIC51	MTIC51		37.7	37.7	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_002A09	002A09		61.5	61.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004A02	004A02	004A02_F,mt004a02,mt_004a02,mtgsp_004a02,mtgsp_004a02(2)	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_70j8a	h2_70j8a		69.6	69.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_MTIC55	MTIC55		21.1	21.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_10c8a	h2_10c8a		4.5	4.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_194j10b	h2_194j10b		25.1	25.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_003A03	003A03	mt018d12,mtgsp_003a03,mth2-18d12	5.9	5.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_1433P	1433P		70.3	70.3	SNP	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_24n18a	h2_24n18a		51.4	51.4	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_002G03	002G03	002G03_F,mt012a18,mt_12a18,mtgsp_002g03,mtgsp_002g03(2)	63.7	63.7	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_124L5b	h2_124L5b	b_124l05	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_179n10e	h2_179n10e		62.2	62.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_002B12	002B12	mt002b12,mt_002b12,mtgsp_002b12,mtgsp_002b12(2),mtgsp_002b12(3)	14.1	14.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004F06B	004F06B		61.5	61.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001B05	001B05	001B05_1,mt011a18,mtgsp_001b05,mth2-11a18	34.1	34.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005e02	005e02	mt006c16,mtgsp_005e02,mth2-6c16	68	68	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_NPAC	NPAC		69.3	69.3	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_76g21b	h2_76g21b		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK258L	DK258L	K007,pK007	6.6	6.6	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_52p12a	h2_52p12a		72.9	72.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_chit1	chit1		73.2	73.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004D07	004D07	004D07_F,mt017m13,mt_17m13,mtgsp_004d07	5.9	5.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_003F03	003F03	003F03_3,mt034c03,mtgsp_003f03,mth2-34c3	5.2	5.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_60a22a	h2_60a22a	a_060a22	38.5	38.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_157f20a	h2_157f20a		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005G04	005G04	005G04_2,mt016c16,mtgsp_005g04,mth2-16c16	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_9b13a	h2_9b13a		61.5	61.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_17i21d	h2_17i21d		23.9	23.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001e06	001e06	001E06_3,mt016g15,mtgsp_001e06,mth2-16g15	5.2	5.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_10n2d	h2_10n2d	003E09	70.3	70.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004F09	004F09	004F09_F,mt004f09,mt_004f09,mtgsp_004f09,mtgsp_004f09(2)	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_34b13b	h2_34b13b	b_034b13	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_7k10e	h2_7k10e		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_002F11	002F11	002F11_F,mt036n23,mt_36n23,mtgsp_002f11,mtgsp_002f11(2)	68.9	68.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_39a22a	h2_39a22a		37.7	37.7	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_21d12c	h2_21d12c		62.2	62.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_003G03	003G03	003G03_3,mt034k09,mtgsp_003g03,mth2-34k9	4.5	4.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004G01	004G01	004G01_F,mt015f09,mt_15f09,mtgsp_004g01	69.3	69.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_7f4f	h2_7f4f	006C04	69.6	69.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_35n9a	h2_35n9a		71.8	71.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004G03	004G03	004G03_F,mt010p01,mt_10p01,mtgsp_004g03	73.2	73.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_134j11d	h2_134j11d		65.9	65.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_71j12a	h2_71j12a		62.9	62.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_132l6a	h2_132l6a		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_74O5R	74O5R		5.2	5.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005G05	005G05		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK313L	DK313L	A059,pA059	71.8	71.8	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_27d24a	h2_27d24a		59.2	59.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK419R	DK419R	A685,pA685	34.1	34.1	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004G03B	004G03B		75.1	75.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK501R	DK501R	A597,pA597	3	3	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_115c19b	h2_115c19b		71.8	71.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_12b2e	h2_12b2e		63.7	63.7	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005B04	005B04		69.2	69.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_6M23L	6M23L	R-6M23L,R_6M23L	14.1	14.1	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_7j2a	h2_7j2a		1.5	1.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_11A20a	h2_11A20a		59.2	59.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK132L	DK132L		27.9	27.9	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_e1_26g9e	e1_26g9e		26	26	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_002e06	002e06	002E06_F,mt015n13,mt_15n13,mtgsp_002e06	0	0	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004e11	004e11	004E11_F,mt004e11,mt_004e11,mtgsp_004e11,mtgsp_004e11(2)	38.1	38.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK417L	DK417L	A685,pA685	34.1	34.1	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_13B3R	13B3R		5.2	5.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_26G3L	26G3L	R-26G3L	5.2	5.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_18D24R	18D24R		4.5	4.5	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_16a18a	h2_16a18a		28.6	28.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_49e10a	h2_49e10a		0	0	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_108g5a	h2_108g5a	a_108g05	63	63	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_GLNA	GLNA		53.2	53.2	SNP	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_117n1c	h2_117n1c		17.8	17.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_38K1L	38K1L	R_38K1L	11.9	11.9	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_14b12a	h2_14b12a		25.6	25.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_003C03	003C03	003C03_1,mt030k24,mtgsp_003c03,mth2-30k24	14.1	14.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_10g20a	h2_10g20a		73.2	73.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004H06	004H06		69.6	69.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_R-19F14R	R-19F14R	R_19F14R	5.9	5.9	Marker	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_Ms/U515	Ms/U515		73.2	73.2	SNP	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_BE187590	BE187590		34.7	34.7	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_TRPT	TRPT		28	28	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_135c7b	h2_135c7b		62.9	62.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_42J16R	42J16R	R-42J16R	5.2	5.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK473L	DK473L	A635,pA635	61.5	61.5	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004H12	004H12		72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_10o11a	h2_10o11a	003A08b	61.5	61.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK500R	DK500R	A597,pA597	-12	-12	Marker	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_11O9L	11O9L	R-11O9L,R_11o9L	13.4	13.4	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_91j4a	h2_91j4a		26.4	26.4	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004A05	004A05	004A05_F,mt004a05,mt_004a05,mtgsp_004a05,mtgsp_004a05(2),mtgsp_004a05(3)	1.5	1.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_MTIC66	MTIC66		59.3	59.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_EST400	EST400		62.2	62.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_73i24a	h2_73i24a		34.1	34.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004e06	004e06	004E06_F,mt010j01,mt_10j01,mtgsp_004e06	5.2	5.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_6i7c	h2_6i7c		25.6	25.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_006B01	006B01	006B01_M,b_015m12,h2_15m12b,mtgsp_006b01	69.6	69.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_AY224189a	AY224189a		61.9	61.9	Marker	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK382L	DK382L	A487,pA487	5.2	5.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004H01	004H01	004H01_F,mt004h01,mt_004h01,mtgsp_004h01,mtgsp_004h01(2)	11.9	11.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK306R	DK306R		61.5	61.5	Marker	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_19L13L	19L13L	R-19L13L,R_19L13L	5.2	5.2	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_34i10a	h2_34i10a		72.5	72.5	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_58l23a	h2_58l23a		53.3	53.3	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_11p13f	h2_11p13f		50.8	50.8	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_14J5a	h2_14J5a	a_014J05	3.6	3.6	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_DK322L	DK322L	A023,pA023	13.3	13.3	CAPS	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_14c17b	h2_14c17b		50.4	50.4	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_e1_44l19a	e1_44l19a		0	0	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_004C10	004C10	004C10_F,mt004c10,mt_004c10,mtgsp_004c10,mtgsp_004c10(2)	2.2	2.2	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_003B12	003B12	003B12_F,mtgsp_003b12,mtgsp_003b12(2)	47.7	47.7	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_H2_36O3_fr1	H2_36O3_fr1		2.2	2.2	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_24p8c	h2_24p8c	c_024p08	53.4	53.4	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_84o7a	h2_84o7a		59.4	59.4	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_e1_27e16b	e1_27e16b		3.6	3.6	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_165g15b	h2_165g15b		33.3	33.3	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_005A07	005A07	005A07_2,mt017g16,mtgsp_005a07,mth2-17g16	2.9	2.9	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_002E05	002E05	mt002e05,mt_002e05,mtgsp_002e05,mtgsp_002e05(2),mtgsp_002e05(3)	53.3	53.3	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_62p5b	h2_62p5b		11.3	11.3	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_20k24g	h2_20k24g	006B06	37.8	37.8	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_15m24a	h2_15m24a		22.6	22.6	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_003H09	003H09		47.7	47.7	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_34c9b	h2_34c9b	b_034c09,h2_34c9a	63.2	63.2	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_e1_13l14a	e1_13l14a		60	60	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_172c4a	h2_172c4a		47	47	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_DK296L	DK296L	K390,pK390	49.1	49.1	CAPS	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_004A12	004A12	004A12_F,mt004a12,mt_004a12,mtgsp_004a12	64	64	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_001D09	001D09		55.5	55.5	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_8g20b	h2_8g20b	b_008g20	57.7	57.7	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_e1_49d11c	e1_49d11c		21.9	21.9	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_003A09	003A09	003A09_F,mt027f03,mt_27f03,mtgsp_003a09	50.4	50.4	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_DK302L	DK302L	A681,pA681	0	0	CAPS	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_002D04	002D04	002D04_H,mtgsp_002d04	66.2	66.2	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_002G05	002G05	002G05_F,mt015g22,mt_15g22,mtgsp_002g05,mtgsp_002g05(2)	63.3	63.3	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_H2_142N19_fr1	H2_142N19_fr1		50.4	50.4	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_005H06	005H06	005H06_M,d_024f11,h2_24f11d,mtgsp_005h06	2.9	2.9	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_7a11b	h2_7a11b	006D06	52.8	52.8	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_001G04	001G04	001G04_3,mt009i03,mtgsp_001g04,mth2-9i3	22.6	22.6	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_CAK	CAK		55.5	55.5	CAPS	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h2_156l8a	h2_156l8a		17.8	17.8	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_h4_42i13a	h4_42i13a		47.7	47.7	SSR	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_VBP1	VBP1		55.5	55.5	CAPS	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_DK427R	DK427R	B046,pB046	53.3	53.3	CAPS	0
MtYoungUMinn2006_7	7	0	68.6	MtYoungUMinn2006_7_004G11	004G11	004G11_F,mt014c17,mt_14c17,mtgsp_004g11	5.1	5.1	SSR	0
