#SAMPLE																
#																
#Hints:																
#sample display name	Lookup key for data column (=SRR no)	unique name for LIS Chado	Descriptive	Exp design: factors-rep combinations	tissue/organ/plant part			Chado spelling	sub-spp, cv-type	strain, line, cultivar, genotype	Other_attributes, place-holder, add extra columns	SRR(not in recc)	SAMN number	SRS number	PRJN number	SRP number
sample_name	key	sample_uniquename	description	treatment	tissue	dev_stage	age	organism	infraspecies	cultivar	other	sra_run	biosample_accession	sra_accession	bioproject_accession	sra_study
Stem at senesc (SRR5199314)	SRR5199314	Stem at senesc (SRR5199314)	Stem at Senescence stage (SRR5199314)	Stem at senesc	Stem	Senescence stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199314	SAMN06264146	SRS1937946	PRJNA354681	SRP097728
Stem at reprod (SRR5199315)	SRR5199315	Stem at reprod (SRR5199315)	Stem at Reproductive stage (SRR5199315)	Stem at reprod	Stem	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199315	SAMN06264145	SRS1937947	PRJNA354681	SRP097728
Immature pod at reprod (SRR5199316)	SRR5199316	Immature pod at reprod (SRR5199316)	Immature pod at Reproductive stage (SRR5199316)	Immature pod at reprod	Immature pod	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199316	SAMN06264144	SRS1937948	PRJNA354681	SRP097728
Nodule at reprod (SRR5199317)	SRR5199317	Nodule at reprod (SRR5199317)	Nodule at Reproductive stage (SRR5199317)	Nodule at reprod	Nodule	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199317	SAMN06264143	SRS1937949	PRJNA354681	SRP097728
Root at reprod (SRR5199318)	SRR5199318	Root at reprod (SRR5199318)	Root at Reproductive stage (SRR5199318)	Root at reprod	Root	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199318	SAMN06264142	SRS1937950	PRJNA354681	SRP097728
Pistil at reprod (SRR5199319)	SRR5199319	Pistil at reprod (SRR5199319)	Pistil at Reproductive stage (SRR5199319)	Pistil at reprod	Pistil	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199319	SAMN06264141	SRS1937951	PRJNA354681	SRP097728
Stamen at reprod (SRR5199320)	SRR5199320	Stamen at reprod (SRR5199320)	Stamen at Reproductive stage (SRR5199320)	Stamen at reprod	Stamen	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199320	SAMN06264140	SRS1937952	PRJNA354681	SRP097728
Flower at reprod (SRR5199321)	SRR5199321	Flower at reprod (SRR5199321)	Flower at Reproductive stage (SRR5199321)	Flower at reprod	Flower	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199321	SAMN06264139	SRS1937953	PRJNA354681	SRP097728
Bud at reprod (SRR5199322)	SRR5199322	Bud at reprod (SRR5199322)	Bud at Reproductive stage (SRR5199322)	Bud at reprod	Bud	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199322	SAMN06264138	SRS1937954	PRJNA354681	SRP097728
Leaf at reprod (SRR5199323)	SRR5199323	Leaf at reprod (SRR5199323)	Leaf at Reproductive stage (SRR5199323)	Leaf at reprod	Leaf	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199323	SAMN06264137	SRS1937955	PRJNA354681	SRP097728
Leaf at veg (SRR5199324)	SRR5199324	Leaf at veg (SRR5199324)	Leaf at Vegetative stage (SRR5199324)	Leaf at veg	Leaf	Vegetative stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199324	SAMN06264136	SRS1937956	PRJNA354681	SRP097728
Root at veg (SRR5199325)	SRR5199325	Root at veg (SRR5199325)	Root at Vegetative stage (SRR5199325)	Root at veg	Root	Vegetative stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199325	SAMN06264135	SRS1937957	PRJNA354681	SRP097728
Nodule at veg (SRR5199326)	SRR5199326	Nodule at veg (SRR5199326)	Nodule at Vegetative stage (SRR5199326)	Nodule at veg	Nodule	Vegetative stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199326	SAMN06264134	SRS1937958	PRJNA354681	SRP097728
Shoot apical meristem at veg (SRR5199327)	SRR5199327	Shoot apical meristem at veg (SRR5199327)	Shoot apical meristem at Vegetative stage (SRR5199327)	Shoot apical meristem at veg	Shoot apical meristem	Vegetative stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199327	SAMN06264133	SRS1937959	PRJNA354681	SRP097728
Root at seedl (SRR5199328)	SRR5199328	Root at seedl (SRR5199328)	Root at Seedling stage (SRR5199328)	Root at seedl	Root	Seedling stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199328	SAMN06264132	SRS1937960	PRJNA354681	SRP097728
Shoot at seedl (SRR5199329)	SRR5199329	Shoot at seedl (SRR5199329)	Shoot at Seedling stage (SRR5199329)	Shoot at seedl	Shoot	Seedling stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199329	SAMN06264131	SRS1937961	PRJNA354681	SRP097728
Embryo at germ (SRR5199330)	SRR5199330	Embryo at germ (SRR5199330)	Embryo at Germinal stage (SRR5199330)	Embryo at germ	Embryo	Germinal stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199330	SAMN06264130	SRS1937962	PRJNA354681	SRP097728
Hypocotyl at germ (SRR5199331)	SRR5199331	Hypocotyl at germ (SRR5199331)	Hypocotyl at Germinal stage (SRR5199331)	Hypocotyl at germ	Hypocotyl	Germinal stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199331	SAMN06264129	SRS1937963	PRJNA354681	SRP097728
Radicle at germ (SRR5199332)	SRR5199332	Radicle at germ (SRR5199332)	Radicle at Germinal stage (SRR5199332)	Radicle at germ	Radicle	Germinal stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199332	SAMN06264128	SRS1937964	PRJNA354681	SRP097728
Cotyledons at germ (SRR5199333)	SRR5199333	Cotyledons at germ (SRR5199333)	Cotyledons at Germinal stage (SRR5199333)	Cotyledons at germ	Cotyledons	Germinal stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199333	SAMN06264127	SRS1937965	PRJNA354681	SRP097728
