# this is a legfed-expression file, modified slightly from normalizeddata.txt from PvGEA
#
# 1. source name, PMID, geo, bioProject, sra
Phaseolus vulgaris Gene Expression Atlas	25283805		PRJNA210619	SRP046307
# 2. URL
http://plantgrn.noble.org/PvGEA/
# 3. description
Phaseolus vulgaris L., or common bean, is an important source of proteins, micronutrients and calories for over three hundred million people worldwide. The high levels of dietary protein in bean seeds (between 20 and 25%) and micronutrients complement the high carbohydrates found in maize and cassava (Broughton et al., 2003). In addition to their important contribution to human health, legumes are also important contributors to biological Nitrogen (N), contributing approximately 21 million metric tons of N into agricultural lands each year (Herridge et al., 2008) . Despite the international importance of common bean, both in terms of economics and consumption, genetic resources for this species have been lacking. This atlas presents the gene expression patterns of 24 unique samples collected from seven distinct tissues of Phaseolus vulgaris cv. negro jamapa; roots, nodules, leaves, stems, flowers, seeds, and pods. Samples were collected at developmentally important time-points spanning the processes of symbiosis, seed and pod development. Plants were either provided with nutrients via fertilizer or inoculated with either effective or ineffective rhizobium. Plants inoculated with ineffective rhizobium formed nodules, but did not fix N2, resulting in N deficient plants.
# 4. expression unit
RPKM
# 5. number of samples
24
# 6. Sample number, name and description in same order as the columns (adjusted from buggy version on site)
1	FY	Young flowers, collected prior to floral emergence
2	LF	Leaf tissue from fertilized plants collected at the same time of LE and LI
3	L5	Leaf tissue collected 5 days after plants were inoculated with effective rhizoubium
4	LE	Leaf tissue collected 21 days after plants were inoculated with effective rhizobium
5	LI	Leaf tissue collected 21 days after plants were inoculated with ineffective rhizobium
6	N5	Pre-fixing (effective) nodules collected 5 days after inoculation
7	NE	Effectively fixing nodules collected 21 days after inoculation
8	NI	Ineffectively fixing nodules collected 21 days after inoculation
9	P1	Pods between 10 and 11 cm long, associated with stage 1 seeds (pod only)
10	P2	Pods between 12 and 13 cm long associated with stage 2 seeds (pod only)
11	PH	Pods approximately 9cm long, associated with seeds at heart stage (pod only)
12	PY	Young pods, collected 1 to 4 days after floral senescence. Samples contain developing embryos at globular stage
13	RF	Whole roots from fertilized plants collected at the same time as RE and RI
14	R5	Whole roots separated from 5 day old pre-fixing nodules
15	RE	Whole roots separated from fix+ nodules collected 21 days after inoculation
16	RI	Whole roots separated from fix- nodules collected 21 days after inoculation
17	RT	Root tips, 0.5 cm of tissue, collected from fertilized plants at 2nd trifoliate stage of development
18	S1	Stage 1 seeds, between 6 and 7 mm across and approximately 50 mg	
19	S2	Stage 2 seeds, between 8 and 10 mm across and between 140 and 150 mg
20	SH	Heart stage seeds, between 3 and 4 mm across and approximately 7 mg
21	ST	Shoot tip, including the apical meristem, collected at the 2nd trifoliate stage
22	YL	Fully expanded 2nd trifoliate leaf tissue from plants provided with fertilizer
23	YR	Whole roots, including root tips, collected at the 2nd trifoliate stage of development
24	YS	All stem internodes above the cotyledon collected at the 2nd trifoliate stage
# 7. expression data
#GeneID	PVFY	PVL	PVL5	PVLE	PVLI	PVN5	PVNE	PVNI	PVP1	PVP2	PVPH	PVPY	PVR	PVR5	PVRE	PVRI	PVRT	PVS1	PVS2	PVSH	PVST	PVYL	PVYR	PVYS
Phvul.001G002600.1	5	3	5	4	3	2	6	3	3	4	6	1	2	2	6	3	2	3	4	3	4	5	3	4
Phvul.001G002600.2	5	3	5	4	3	2	6	3	3	4	6	1	2	2	6	3	2	3	4	3	4	5	3	4
Phvul.001G002700.1	3	3	5	3	4	3	1	2	2	2	5	1	4	3	3	4	2	2	2	3	3	4	3	5
Phvul.001G002700.2	2	3	4	2	4	3	1	2	2	2	3	1	2	2	2	2	2	2	2	3	3	3	1	2
Phvul.001G002800.1	2	1	2	1	1	0	0	1	2	5	6	1	2	2	2	3	1	1	1	2	1	1	3	5
Phvul.001G002900.1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1
Phvul.001G003000.1	13	4	6	3	11	19	16	22	7	14	13	2	19	20	13	12	21	30	30	28	17	11	8	7
Phvul.001G003100.1	12	10	9	16	8	18	5	7	7	7	18	7	15	10	10	9	17	18	11	20	18	25	6	14
Phvul.001G003200.1	273	78	203	127	216	775	162	177	163	195	334	133	605	500	457	335	1106	740	352	521	622	483	356	391
Phvul.001G003300.1	2	1	3	2	0	1	0	0	24	22	5	0	5	5	5	4	1	1	1	1	2	3	5	5
Phvul.001G003400.1	0	1	1	0	0	0	0	2	49	70	18	0	5	4	2	1	1	8	5	5	1	1	3	1
Phvul.001G003500.1	393	162	277	212	263	572	134	256	91	171	352	143	507	472	350	297	1007	683	427	435	764	537	268	337
Phvul.001G003600.1	14	8	10	7	12	25	9	12	6	10	20	4	23	20	18	17	28	16	13	24	22	15	16	18
Phvul.001G003700.1	2	2	1	1	0	0	1	1	0	0	0	0	130	81	48	15	117	0	1	1	5	4	21	0
Phvul.001G003700.2	1	2	1	1	0	0	1	1	0	0	0	0	129	81	48	15	117	0	1	1	5	4	21	0
Phvul.001G003800.1	0	1	2	1	0	10	2	1	0	0	0	0	22	36	21	12	2	0	0	0	0	1	22	0
Phvul.001G003900.1	0	0	1	0	1	0	0	51	1	2	0	0	1	3	1	2	0	0	0	0	0	1	0	0
Phvul.001G004000.1	36	34	27	33	9	36	3	5	1	3	38	11	64	52	67	53	119	44	20	396	56	44	57	4
Phvul.001G004100.1	9	2	8	3	7	11	7	12	4	7	9	3	9	7	10	11	15	10	8	14	15	8	9	9
Phvul.001G004200.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Phvul.001G004300.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0
Phvul.001G004400.1	2	1	1	0	1	1	20	3	1	2	18	1	1	1	2	2	1	1	1	1	3	1	1	1
Phvul.001G004500.1	1	2	0	1	5	0	0	0	3	5	4	0	0	0	0	0	0	0	0	0	4	0	0	3
Phvul.001G004600.1	10	19	13	10	1	0	0	0	3	3	2	1	0	0	0	0	1	0	0	0	18	16	0	4
Phvul.001G004700.1	11	6	34	9	40	19	15	55	9	23	16	4	19	16	29	39	17	13	11	13	29	23	21	19
Phvul.001G004800.1	38	10	16	10	11	41	17	17	16	22	69	9	64	67	41	33	83	37	59	48	38	26	25	46
Phvul.001G004900.1	2	2	2	1	68	6	6	36	1	1	0	0	18	8	21	29	2	1	0	0	1	3	12	3
Phvul.001G004900.2	2	2	2	2	73	7	7	39	1	1	0	0	19	9	23	31	2	1	0	0	1	3	13	3
Phvul.001G005000.1	10	3	24	11	2	104	40	126	5	19	29	4	20	95	93	206	28	2	2	4	39	43	63	58
Phvul.001G005000.2	8	2	19	9	1	84	34	101	4	17	22	3	16	76	71	160	23	2	1	4	33	35	51	48
Phvul.001G005100.1	1	0	1	1	0	1	0	1	0	0	1	0	3	4	2	1	5	0	0	0	1	1	2	3
Phvul.001G005200.1	84	13	31	16	111	190	46	50	29	37	85	40	128	110	86	69	252	156	199	146	152	66	80	116
Phvul.001G005300.1	2	1	1	1	4	1	7	9	13	30	3	0	8	8	3	3	5	4	6	3	1	4	6	13
Phvul.001G005400.1	25	16	39	26	56	45	30	56	15	32	26	5	39	38	51	56	48	33	15	27	37	35	47	41
Phvul.001G005500.1	6	16	24	12	4	2	0	0	3	4	7	1	1	2	1	3	0	0	0	0	11	21	1	15
Phvul.001G005600.1	14	9	21	9	26	19	23	43	18	34	18	3	28	25	25	29	15	12	13	18	15	16	33	23
Phvul.001G005700.1	6	4	9	4	6	12	4	6	2	4	9	4	9	7	9	8	10	10	5	10	10	10	7	8
Phvul.001G005700.2	6	4	8	3	5	11	3	6	2	4	8	4	9	6	9	7	10	9	5	9	9	9	7	7
Phvul.001G005800.1	2	1	2	1	1	1	0	0	0	2	1	0	3	2	1	0	4	0	0	0	1	0	1	0
Phvul.001G005900.1	3	6	2	6	8	0	0	0	1	1	7	1	0	1	0	0	0	0	0	0	4	2	0	1
Phvul.001G006000.1	10	6	13	5	11	13	10	18	8	12	15	3	23	17	20	17	28	9	9	13	16	11	21	17
Phvul.001G006100.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phvul.001G006200.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phvul.001G006300.1	2	20	8	10	360	4	20	44	6	36	2	0	46	82	220	36	39	368	70	61	36	79	343	15
Phvul.001G006400.1	0	0	0	0	13	0	1	2	0	2	0	0	1	4	9	2	2	12	2	3	1	3	13	1
Phvul.001G006500.1	0	0	0	0	15	0	1	2	0	2	0	0	2	4	10	3	2	12	2	3	1	3	15	1
Phvul.001G006600.1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	3	0
Phvul.001G006700.1	1	2	3	1	0	0	0	0	0	0	0	1	2	1	3	2	0	2	1	0	2	5	2	6
Phvul.001G006800.1	4	9	9	13	25	7	3	6	4	6	8	3	8	8	7	8	7	5	3	13	7	10	7	6
Phvul.001G006900.1	31	24	31	21	43	71	44	60	16	28	44	12	79	84	86	79	66	44	23	52	43	49	78	60
Phvul.001G007000.1	17	4	9	3	3	13	4	5	6	8	20	3	15	13	9	8	17	6	8	15	17	6	9	15
Phvul.001G007100.1	25	7	16	8	11	9	4	7	9	22	20	5	40	30	20	18	17	6	3	16	14	10	15	19
Phvul.001G007200.1	7	2	7	3	5	15	4	7	3	7	8	5	12	10	8	6	18	8	6	12	15	11	5	9
Phvul.001G007300.1	12	6	13	5	4	14	4	6	6	11	43	5	15	15	8	8	31	14	15	18	24	13	11	30
Phvul.001G007400.1	11	7	9	3	5	32	9	11	3	8	11	8	19	19	16	13	23	16	11	24	27	14	10	12
Phvul.001G007400.2	11	7	9	3	5	31	9	11	3	8	11	7	18	18	15	13	22	15	10	24	27	14	9	12
Phvul.001G007400.3	11	7	9	3	5	30	9	11	3	8	11	7	18	18	15	13	22	15	10	24	26	14	9	12
Phvul.001G007500.1	23	198	171	161	27	1	1	1	7	12	40	11	1	1	2	1	2	8	5	9	21	142	2	16
Phvul.001G007600.1	8	3	7	2	5	7	7	9	7	8	14	2	7	5	8	9	9	11	11	9	9	6	10	8
Phvul.001G007700.1	127	65	105	66	105	264	84	79	72	106	166	47	267	229	185	148	388	309	170	193	245	210	147	168
Phvul.001G007800.1	1	0	3	0	0	146	2	23	0	0	0	0	40	20	36	71	3	0	0	0	1	0	34	2
Phvul.001G007900.1	10	6	12	8	20	14	11	26	8	13	10	4	19	12	17	20	18	9	7	12	17	13	17	13
Phvul.001G008000.1	13	8	27	13	3	27	9	4	6	4	17	4	23	26	34	28	30	7	8	5	21	48	51	40
Phvul.001G008100.1	6	0	0	0	0	1	1	0	0	0	1	0	22	11	7	2	16	13	11	1	3	0	14	1
Phvul.001G008200.1	8	1	2	1	1	4	0	4	6	7	2	2	3	3	3	6	2	12	7	20	29	6	3	8
Phvul.001G008300.1	3	1	1	0	1	3	0	2	2	5	1	1	2	1	1	3	1	8	5	13	16	2	2	5
Phvul.001G008400.1	11	10	7	6	5	13	3	2	7	10	30	4	35	30	13	8	39	16	14	22	12	6	9	14
Phvul.001G008500.1	47	15	41	26	39	140	29	30	13	23	55	23	113	119	82	55	218	68	43	87	123	87	59	55
Phvul.001G008600.1	23	12	17	14	31	36	19	37	12	20	22	6	31	20	23	27	22	28	18	28	35	21	24	23
Phvul.001G008700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
Phvul.001G008800.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	11	4	0	0	0	0
Phvul.001G008900.1	4	3	5	2	70	3	18	62	6	24	8	1	4	3	4	4	2	0	0	1	3	2	6	1
Phvul.001G009000.1	20	11	36	20	76	88	41	138	14	39	26	6	45	50	74	96	45	31	27	38	52	56	79	77
Phvul.001G009000.2	21	11	37	20	77	89	42	140	14	40	26	6	46	51	75	97	46	31	27	38	52	57	80	78
Phvul.001G009000.3	20	10	35	19	74	86	40	134	14	38	25	6	44	49	71	93	44	29	26	36	50	54	77	74
Phvul.001G009100.1	183	104	247	89	274	349	210	590	133	236	256	55	340	313	499	414	725	272	192	433	438	373	728	376
Phvul.001G009200.1	3	4	1	3	0	4	0	1	0	0	3	0	2	2	1	1	1	13	18	23	0	1	0	0
Phvul.001G009300.1	9	7	9	7	10	13	12	16	8	7	10	4	13	9	10	12	13	5	4	8	15	8	11	8
Phvul.001G009400.1	3	5	6	3	13	6	9	15	2	6	3	1	9	9	10	10	8	4	3	3	5	8	16	7
Phvul.001G009500.1	7	7	7	7	7	7	3	3	2	3	6	2	4	4	4	4	4	9	7	7	10	12	4	5
Phvul.001G009600.1	3	4	5	3	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	1	3	1	0	2
Phvul.001G009700.1	2	4	6	3	12	3	2	22	3	7	2	0	28	23	27	29	17	1	0	0	6	5	10	10
Phvul.001G009800.1	6	1	1	1	3	6	2	7	0	0	0	1	2	2	1	2	0	2	2	16	6	3	1	1
Phvul.001G009900.1	283	341	156	152	1187	333	664	2966	347	1030	278	41	1550	1082	861	971	155	181	184	332	266	163	286	265
Phvul.001G009900.2	348	418	192	188	1467	412	818	3673	427	1272	343	50	1915	1335	1058	1197	192	223	228	411	329	200	354	327
Phvul.001G010000.1	7	2	5	3	6	13	5	10	3	5	7	3	11	8	8	8	11	10	8	18	14	6	6	5
Phvul.001G010100.1	18	19	19	14	2	23	4	4	6	17	20	15	114	96	52	63	49	7	5	17	53	15	62	191
Phvul.001G010200.1	21	7	11	7	47	3	5	17	4	14	8	1	15	15	6	9	1	2	3	7	14	11	4	13
Phvul.001G010300.1	28	27	72	39	29	83	38	51	8	16	26	10	61	77	66	64	76	67	16	54	78	113	45	102
Phvul.001G010400.1	0	0	0	0	0	0	5	2	0	0	0	0	1	1	4	1	0	95	119	4	0	0	1	0
Phvul.001G010500.1	8	7	9	9	13	8	8	6	3	5	7	3	6	3	5	7	5	6	3	8	12	21	3	9
Phvul.001G010600.1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Phvul.001G010700.1	15	58	33	42	40	0	0	0	1	12	11	2	0	1	0	0	0	0	0	1	12	41	0	8
Phvul.001G010800.1	235	125	97	47	228	73	86	38	93	174	222	55	77	100	90	108	48	403	253	361	323	154	53	262
Phvul.001G010900.1	12	29	24	16	2	8	4	1	36	31	65	8	135	119	49	35	59	68	49	143	19	23	63	54
Phvul.001G011000.1	8	6	6	7	20	10	4	33	7	13	10	2	21	22	15	22	1	6	4	12	10	8	14	14
Phvul.001G011000.2	8	6	6	6	18	9	4	31	6	12	10	2	20	21	15	21	1	6	4	11	9	8	13	14
Phvul.001G011100.1	5	6	4	5	24	9	3	31	5	9	5	1	16	17	15	20	1	4	3	8	8	8	11	12
Phvul.001G011200.1	7	25	18	21	28	4	5	13	5	10	6	2	7	5	7	10	3	3	2	4	8	18	5	7
Phvul.001G011300.1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Phvul.001G011400.1	12	4	7	3	9	21	11	10	3	7	9	2	17	17	16	14	23	12	6	14	12	10	16	11
Phvul.001G011500.1	14	19	6	9	1	0	0	0	3	3	10	1	0	1	0	0	0	6	3	5	14	19	0	3
Phvul.001G011600.1	6	4	4	2	4	5	3	9	4	7	7	1	8	7	7	8	6	4	3	5	8	5	5	7
Phvul.001G011700.1	12	4	37	22	30	26	23	42	6	22	13	3	21	24	29	37	39	9	6	13	26	36	21	25
Phvul.001G011800.1	48	3	3	4	10	41	82	11	9	8	76	7	46	38	22	26	13	37	28	50	18	5	6	5
Phvul.001G011900.1	15	2	1	2	3	16	23	2	2	1	29	4	13	17	10	6	4	14	7	12	8	2	3	2
Phvul.001G012000.1	42	26	55	20	32	8	12	37	14	54	35	4	26	32	17	17	12	6	8	12	22	52	30	17
Phvul.001G012100.1	13	14	25	9	16	35	136	59	16	27	16	3	45	33	43	47	10	6	6	6	9	10	60	17
Phvul.001G012200.1	7	6	6	3	5	10	3	3	4	8	9	3	6	6	6	9	4	10	8	5	7	5	4	15
Phvul.001G012200.2	7	6	6	3	5	11	3	3	4	8	10	3	6	6	6	9	4	11	8	6	7	5	5	16
Phvul.001G012300.1	11	15	12	9	7	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	3	6	0	0
Phvul.001G012400.1	74	499	398	376	121	29	11	14	15	35	119	34	18	26	17	19	23	26	15	39	95	537	13	50
Phvul.001G012500.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phvul.001G012600.1	3	2	3	1	1	3	0	0	1	0	2	1	0	0	1	1	0	1	0	1	12	7	0	6
Phvul.001G012700.1	6	2	0	0	1	1	0	0	0	0	1	3	0	0	3	0	0	242	97	693	7	0	0	0
Phvul.001G012800.1	13	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	53	23	300	6	1	0	2
Phvul.001G012900.1	11	3	7	4	8	13	16	26	5	7	7	3	21	14	26	36	13	4	2	15	29	10	18	19
Phvul.001G012900.2	16	5	10	6	12	18	22	36	7	10	10	4	29	19	37	51	18	6	3	22	41	15	26	27
Phvul.001G013000.1	64	33	54	30	69	141	49	69	33	61	86	18	136	139	83	62	170	80	71	110	98	62	93	75
Phvul.001G013100.1	5	1	5	1	0	19	4	14	0	0	2	1	22	25	14	30	6	0	1	2	14	3	12	7
Phvul.001G013200.1	4	1	1	1	3	0	3	12	20	70	5	0	23	20	11	37	1	1	1	1	6	2	16	24
Phvul.001G013300.1	12	2	2	1	1	0	2	1	24	69	36	1	8	10	3	3	15	1	0	3	17	7	19	33
Phvul.001G013400.1	11	5	2	1	3	0	1	1	18	50	32	2	8	7	3	3	11	1	1	7	14	5	13	24
Phvul.001G013400.2	11	5	2	1	3	0	1	1	18	50	32	2	8	7	3	3	11	1	1	7	14	5	13	24
Phvul.001G013500.1	12	2	2	2	1	1	0	0	2	3	7	2	9	4	2	2	10	2	1	6	8	2	3	4
Phvul.001G013500.2	11	2	2	2	1	1	0	0	2	3	7	2	9	4	2	2	10	2	1	6	8	2	3	4
Phvul.001G013600.1	2	1	2	3	1	1	1	0	0	0	3	0	6	6	9	9	1	1	0	1	2	3	8	6
Phvul.001G013700.1	36	11	24	14	17	57	21	18	14	19	34	14	53	39	35	29	65	64	42	66	61	37	23	31
Phvul.001G013800.1	0	0	1	0	1	1	1	2	0	2	1	0	2	4	3	5	0	0	0	0	6	6	3	3
Phvul.001G013900.1	1	0	0	0	0	8	1	1	0	0	0	0	2	7	4	1	2	1	0	2	1	1	5	1
Phvul.001G014000.1	9	3	5	1	2	18	8	23	4	12	12	2	34	33	29	25	34	6	5	3	13	7	49	20
Phvul.001G014100.1	19	4	5	3	6	21	6	12	22	29	45	8	36	59	25	20	36	8	9	28	13	3	31	30
Phvul.001G014200.1	12	12	8	5	19	26	6	14	4	5	12	5	24	14	18	20	28	10	5	21	25	10	14	12
Phvul.001G014300.1	9	1	1	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0	15
Phvul.001G014400.1	12	12	27	19	26	13	12	24	14	44	12	3	14	16	17	20	16	2	2	3	23	36	40	39
Phvul.001G014500.1	10	3	8	5	7	13	6	9	7	13	14	5	12	9	10	10	14	9	7	16	16	9	8	14
Phvul.001G014600.1	15	2	6	2	13	16	25	9	15	30	21	13	3	8	4	7	0	2	0	6	38	27	10	11
Phvul.001G014700.1	20	30	6	18	49	8	6	58	31	60	52	7	24	11	16	27	2	3	3	6	12	8	22	20
Phvul.001G014700.2	20	30	6	18	50	8	6	59	31	62	53	8	24	11	16	27	2	4	3	6	12	8	22	20
Phvul.001G014700.3	17	29	6	18	47	6	5	47	28	55	45	7	19	8	14	23	1	3	3	5	11	8	18	17
Phvul.001G014800.1	14	20	4	12	33	7	6	38	24	43	34	6	18	9	14	25	2	5	4	5	10	6	19	15
Phvul.001G014900.1	32	24	34	23	23	41	13	16	30	65	86	15	53	85	39	64	7	18	19	53	37	31	31	63
Phvul.001G014900.2	35	26	38	26	25	45	14	18	34	72	96	17	58	94	43	71	8	20	21	59	41	34	35	70
Phvul.001G015000.1	1	0	0	0	0	3	16	2	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0
Phvul.001G015100.1	8	5	8	6	8	11	5	11	5	5	8	4	9	6	8	10	14	8	6	11	19	12	7	10
Phvul.001G015100.2	8	6	8	6	8	12	6	12	5	6	8	4	9	6	9	10	15	9	6	12	20	13	8	10
Phvul.001G015100.3	8	5	8	6	8	12	6	12	5	5	8	4	9	6	9	10	14	9	6	12	19	12	8	10
Phvul.001G015200.1	0	0	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2
