804	Seed isoflavone 1-g21	qSifc-a-05-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7298	Gm05_BLOCK190	9.80E-32		4.6	Gm05	A1	38521436	38521436
805	Seed isoflavone 1-g22	qSifc-a-05-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7299	Gm05_BLOCK213	1.54E-13		2	Gm05	A1	41371562	41371562
806	Seed isoflavone 1-g23	qSifc-a-06-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7318	Gm06_29614031	0.022370772		0.2	Gm06	C2	30507058	30507058
807	Seed isoflavone 1-g24	qSifc-a-08-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7300	Gm08_BLOCK10	2.28E-09		1.2	Gm08	A2	2024128	2024128
808	Seed isoflavone 1-g25	qSifc-a-08-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7301	Gm08_BLOCK107	0.006737947		0.4	Gm08	A2	15354741	15354741
809	Seed isoflavone 1-g26	qSifc-a-09-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7302	Gm09_BLOCK243	0.000675539		0.6	Gm09	K	30084398	30084398
810	Seed isoflavone 1-g27	qSifc-a-09-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7303	Gm09_BLOCK276	1.52E-07		1.1	Gm09	K	34921967	34921967
811	Seed isoflavone 1-g28	qSifc-a-10-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7304	Gm10_BLOCK181	1.01E-05		0.8	Gm10	O	23605189	23605189
812	Seed isoflavone 1-g29	qSifc-a-10-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7319	Gm10_46060044	0.000675539		0.4	Gm10	O	46629832	46629832
813	Seed isoflavone 1-g30	qSifc-a-10-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7305	Gm10_BLOCK381	5.65E-12		1.8	Gm10	O	48995252	48995252
814	Seed isoflavone 1-g31	qSifc-a-12-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7320	Gm12_24806866	1.37E-05		0.6	Gm12	H	21011320	21011320
815	Seed isoflavone 1-g32	qSifc-a-13-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7321	Gm13_35947620	2.25E-05		0.6	Gm13	F	37088743	37088743
816	Seed isoflavone 1-g33	qSifc-a-14-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7322	Gm14_14739875	2.14E-24		3.4	Gm14	B2	14530947	14530947
817	Seed isoflavone 1-g34	qSifc-a-15-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7306	Gm15_BLOCK78	3.41E-10		1.4	Gm15	E	11618019	11618019
818	Seed isoflavone 1-g35	qSifc-a-15-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7307	Gm15_BLOCK375	3.06E-07		1.1	Gm15	E	48071457	48071457
819	Seed isoflavone 1-g36	qSifc-a-18-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7308	Gm18_BLOCK368	1.09E-34		5.5	Gm18	G	46393508	46393508
820	Seed isoflavone 1-g37	qSifc-a-18-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7323	Gm18_56138428	2.04E-05		0.6	Gm18	G	51866256	51866256
821	Seed isoflavone 1-g38	qSifc-a-18-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7324	Gm18_57350313	3.45E-15		2	Gm18	G	53080827	53080827
822	Seed isoflavone 1-g39	qSifc-a-18-4	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7325	Gm18_61020284	0.013568559		0.2	Gm18	G	56722105	56722105
823	Seed isoflavone 1-g40	qSifc-a-19-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7309	Gm19_BLOCK23	6.31E-16		2.4	Gm19	L	3215723	3215723
824	Seed isoflavone 1-g41	qSifc-a-20-1	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7326	Gm20_14431547	2.78E-08		1	Gm20	I	10105383	10105383
825	Seed isoflavone 1-g42	qSifc-a-20-2	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7310	Gm20_BLOCK102	1.02E-06		1	Gm20	I	20382565	20382565
826	Seed isoflavone 1-g43	qSifc-a-20-3	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7327	Gm20_26093114	0.001113775		0.4	Gm20	I	27260157	27260157
827	Seed isoflavone 1-g44	qSifc-a-20-4	Seed isoflavone 1	Seed isoflavone	SOY:0001849	QTL_other-seed	seed_composition_and_yield	7311	Gm20_BLOCK245	0.000452827		0.5	Gm20	I	37053466	37053466
