TaxonID	3847	
A083_3	Corn earworm 5-2	Corn earworm
A085_1	Leaflet area 3-1	Leaflet area
A085_1	SCN 1-1	SCN
A089_1	WUE 1-2	WUE
A089_2	Seed coat color 1-2	Seed coat color
A089_2	Seed coat color 1-2	Seed coat color
A089_2	Seed weight 11-1	Seed weight
A089_2	Sprout yield 1-1	Sprout yield
A096_2	Leaflet area 1-5	Leaflet area
A096_3	SCN 17-4	SCN
A096_3	SCN 18-5	SCN
A104_1	Seed linoleic 1-2	Seed linoleic
A104_1	Seed oil 4-3	Seed oil
A104_1	Seed oleic 1-2	Seed oleic
A104_2	Seed protein 30-6	Seed protein
A106_1	Chlorimuron sensitivity 1-7	Chlorimuron sensitivity
A109_1	Seed oil 4-5	Seed oil
A109_1	Seed protein 3-2	Seed protein
A109_2	First flower 3-1	First flower
A109_2	Lodging 3-2	Lodging
A109_2	Seed number 1-2	Seed number
A109_2	Seed yield 1-1	Seed yield
A111_1	Leaflet width 1-1	Leaflet width
A111_1	mqSeed Oil-004	Seed Oil
A111_1	Seed coat hardness 1-6	Seed coat hardness
A111_1	Seed fill 1-1	Seed fill
A111_1	Seed oil 1-1	Seed oil
A111_1	Seed oil 34-1	Seed oil
A111_2	Peanut root-knot nematode 2-2	Peanut root-knot nematode
A112_1	First flower 9-2	First flower
A112_1	Leaflet ash 1-1	Leaflet ash
A112_1	SCN 15-1	SCN
A112_1	SCN 2-4	SCN
A117_1	Lodging 5-1	Lodging
A117_1	Seed palmitic 6-1	Seed palmitic
A118_1	Fe effic 9-1	Fe effic
A118_1	Plant height 20-1	Plant height
A118_1	Pod maturity 17-2	Pod maturity
A118_1	Pod maturity 17-3	Pod maturity
A118_1	Pod maturity 18-1	Pod maturity
A118_1	SCN 26-1	SCN
A118_1	Seed linoleic 1-5	Seed linoleic
A118_1	Seed palmitic 6-2	Seed palmitic
A118_1	Seed protein 25-1	Seed protein
A118_1	Seed protein 25-2	Seed protein
A118_1	Seed weight 4-1	Seed weight
A121_1	Carbon isotope discrimination 1-1	Carbon isotope discrimination
A121_1	SCN 22-1	SCN
A122_1	Leaflet weight, specific 1-2	Leaflet weight, specific
A122_1	SDS 13-14	SDS
A131_2	Corn earworm 1-2	Corn earworm
A131_2	Corn earworm 2-2	Corn earworm
A131_2	Corn earworm 3-2	Corn earworm
A132_2	Fe effic 9-4	Fe effic
A132_4	Chlorimuron sensitivity 1-5	Chlorimuron sensitivity
A132_4	Chlorimuron sensitivity 2-2	Chlorimuron sensitivity
A132_4	cqSeed protein-002	Seed protein
A132_4	Seed protein 5-6	Seed protein
A132_6	Corn earworm 3-1	Corn earworm
A135_2	Plant height 5-5	Plant height
A135_3	SCN 25-1	SCN
A136_1	SCN 9-1	SCN
A136_1	Seed sucrose 1-2	Seed sucrose
A144_1	Seed oil 11-1	Seed oil
A144_1	Seed oil 12-1	Seed oil
A144_1	Seed protein 1-3	Seed protein
A144_1	Seed protein 11-1	Seed protein
A144_1	Seed protein 3-12	Seed protein
A144_1	Seed sucrose 1-4	Seed sucrose
A144_1	Seed weight 8-1	Seed weight
A148_2	Fe effic 10-3	Fe effic
A148_2	Node number 1-2	Node number
A169_1	Lodging 5-10	Lodging
A170_1	mqSeed Oil-001	Seed Oil
A170_1	Seed linoleic 1-3	Seed linoleic
A170_1	Seed oleic 1-3	Seed oleic
A186_1	Jav root-knot nematode 1-4	Jav root-knot nematode
A186_1	Peanut root-knot nematode 1-2	Peanut root-knot nematode
A186_1	Plant height 5-6	Plant height
A186_1	Seed abortion 1-3	Seed abortion
A186_1	Seed abortion 1-5	Seed abortion
A186_1	Seed sucrose 1-5	Seed sucrose
A199_1	Seed linolenic 6-5	Seed linolenic
A199_1	Seed weight 21-3	Seed weight
A199_1	Seed weight 3-4	Seed weight
A199_3	Seed protein 4-12	Seed protein
A203_1	Seed linolenic 1-3	Seed linolenic
A203_1	Seed oil 2-9	Seed oil
A226_1	Corn earworm 2-3	Corn earworm
A226_1	Corn earworm 4-1	Corn earworm
A226_1	Corn earworm 6-3	Corn earworm
A226_1	Sclero 1-2	Sclero
A233_1	Seed stearic 1-1	Seed stearic
A233_1	WUE 1-6	WUE
A235_1	Seed protein 3-10	Seed protein
A235_1	Seed weight 11-4	Seed weight
A235_1	Seed weight 3-3	Seed weight
A235_4	Seed oil 6-3	Seed oil
A242_1	Seed oil 2-6	Seed oil
A242_1	Seed protein 1-6	Seed protein
A242_2	Seed linoleic 1-4	Seed linoleic
A242_2	Seed linolenic 1-4	Seed linolenic
A242_2	Seed oleic 1-4	Seed oleic
A245_2	SCN 22-2	SCN
A245_2	Seed protein 1-8	Seed protein
A256_2	Fe effic 5-1	Fe effic
A257_1	Seed weight 3-1	Seed weight
A262_1	SCN 18-1	SCN
A262_4	Seed weight 1-2	Seed weight
A264_1	Chlorimuron sensitivity 1-8	Chlorimuron sensitivity
A264_1	Chlorimuron sensitivity 2-3	Chlorimuron sensitivity
A280_1	SCN 4-3	SCN
A280_4	Pod maturity 6-8	Pod maturity
A295_1	Plant height 6-1	Plant height
A295_1	Plant height 6-8	Plant height
A315_1	Seed oil 1-2	Seed oil
A329_1	SCN 17-2	SCN
A329_1	SCN 19-2	SCN
A329_2	mqSeed Oil-002	Seed Oil
A329_2	Seed oil 24-16	Seed oil
A329_2	Seed oil 3-3	Seed oil
A329_2	Seed protein 2-3	Seed protein
A338_2	Pod maturity 6-6	Pod maturity
A338_2	Seed protein 4-3	Seed protein
A343_1	Corn earworm 5-1	Corn earworm
A343_1	Seed palmitic 1-1	Seed palmitic
A343_2	Plant height 6-12	Plant height
A343_2	Plant height 6-5	Plant height
A351_2	mqSeed Oil-006	Seed Oil
A351_2	Seed oil 24-18	Seed oil
A352_1	Seed protein 4-11	Seed protein
A352_2	mqSeed Oil-019	Seed Oil
A352_2	Seed oil 24-29	Seed oil
A363_1	Plant height 6-2	Plant height
A363_1	Plant height 6-9	Plant height
A374_1	First flower 12-3	First flower
A378_1	First flower 9-2	First flower
A378_1	Leaflet width 5-1	Leaflet width
A378_1	Lodging 5-8	Lodging
A378_1	SCN 4-2	SCN
A378_1	Seed protein 30-10	Seed protein
A381_1	Leaflet weight, specific 1-3	Leaflet weight, specific
A381_1	WUE 1-3	WUE
A385_1	First flower 2-3	First flower
A385_1	Lodging 1-1	Lodging
A385_1	Plant height 1-1	Plant height
A385_1	Seed, beginning 1-2	Seed, beginning
A397_1	Bean pyralid 1-4	Bean pyralid
A397_1	First flower 11-3	First flower
A397_1	First flower 12-1	First flower
A397_1	First flower 2-1	First flower
A397_1	Leaflet area 8-1	Leaflet area
A397_1	Lodging 18-1	Lodging
A397_1	Lodging 2-1	Lodging
A397_1	Node number 1-3	Node number
A397_1	Node number 1-4	Node number
A397_1	Node number 2-1	Node number
A397_1	Plant height 11-1	Plant height
A397_1	Plant height 2-3	Plant height
A397_1	Plant height 20-3	Plant height
A397_1	Plant height 20-4	Plant height
A397_1	Plant height 21-1	Plant height
A397_1	Plant height 6-10	Plant height
A397_1	Plant height 6-3	Plant height
A397_1	Pod maturity 17-4	Pod maturity
A397_1	Pod maturity 3-3	Pod maturity
A397_1	Pods per node 1-2	Pods per node
A397_1	Pods per node 1-3	Pods per node
A397_1	Pods per node 2-3	Pods per node
A397_1	Seed fill 2-1	Seed fill
A397_1	Seed yield 1-1	Seed yield
A397_1	Seed yield 18-1	Seed yield
A397_1	Seed yield 18-2	Seed yield
A397_1	Seed yield 2-2	Seed yield
A397_1	Seed, beginning 1-1	Seed, beginning
A398_1	SCN 19-3	SCN
A398_1	SCN 20-3	SCN
A398_1	SCN 21-2	SCN
A398_1	Seed protein 3-4	Seed protein
A401_2	Seed width 1-6	Seed width
A401_2	Seed width 1-6	Seed width
A404_1	Fe effic 11-3	Fe effic
A404_1	Fe effic 4-3	Fe effic
A404_1	Fe effic 8-3	Fe effic
A407_1	Seed oil 2-2	Seed oil
A407_1	Seed protein 1-2	Seed protein
A426_1	Seed abortion 1-8	Seed abortion
A426_1	Seed height 1-6	Seed height
A426_1	Seed height 1-6	Seed height
A426_1	Seed width 1-4	Seed width
A426_1	Seed width 1-4	Seed width
A454_1	Chlorimuron sensitivity 1-3	Chlorimuron sensitivity
A454_1	cqSeed protein-001	Seed protein
A454_1	Seed linolenic 1-5	Seed linolenic
A454_1	Seed oil 2-4	Seed oil
A454_1	Seed protein 5-1	Seed protein
A458_2	Leaflet ash 1-2	Leaflet ash
A458_3	Seed sucrose 1-12	Seed sucrose
A459_3	Leaflet shape 4-2	Leaflet shape
A461_1	Fe effic 9-4	Fe effic
A463_1	Plant height 5-3	Plant height
A463_1	SCN 18-3	SCN
A463_1	SCN 21-1	SCN
A463_1	Seed length 1-12	Seed length
A463_1	Seed length 1-12	Seed length
A463_1	Seed protein 4-4	Seed protein
A486_1	Seed sucrose 1-13	Seed sucrose
A487_1	SCN 2-3	SCN
A487_1	Seed sucrose 1-1	Seed sucrose
A489_1	First flower 5-2	First flower
A489_1	Flood tolerance 4-3	Flood tolerance
A489_1	Flood tolerance 4-3	Flood tolerance
A489_1	Leaflet area 1-1	Leaflet area
A489_1	Leaflet length 4-2	Leaflet length
A489_1	Leaflet shape 1-1	Leaflet shape
A489_1	Leaflet shape 4-1	Leaflet shape
A489_1	Leaflet weight, specific 1-5	Leaflet weight, specific
A489_1	Leaflet width 4-2	Leaflet width
A489_1	mqSeed Oil-023	Seed Oil
A489_1	Plant height 9-1	Plant height
A489_1	Pod dehiscence 1-10	Pod dehiscence
A489_1	Pod maturity 9-2	Pod maturity
A489_1	Reproductive stage length 3-2	Reproductive stage length
A489_1	Seed oil 24-33	Seed oil
A489_1	Seed oil 9-3	Seed oil
A489_1	Seed yield to Plant height ratio 3-1	Seed yield to Plant height ratio
A489_1	WUE 2-1	WUE
A505_1	Seed oil 4-4	Seed oil
A505_1	Seed protein 3-1	Seed protein
A515_1	Fe effic 10-1	Fe effic
A515_1	Fe effic 11-2	Fe effic
A515_1	Fe effic 12-1	Fe effic
A515_1	Fe effic 4-2	Fe effic
A515_1	Fe effic 6-1	Fe effic
A515_1	Phytoph 8-2	Phytoph
A515_1	Phytoph 8-2	Phytoph
A515_1	Seed weight 9-1	Seed weight
A516_3	Plant height 4-3	Plant height
A517_1	Seed protein 4-5	Seed protein
A519_1	Fe effic 10-3	Fe effic
A519_1	Fe effic 3-2	Fe effic
A519_1	Fe effic 9-2	Fe effic
A519_1	Seed oil 34-2	Seed oil
A520_1	First flower 11-2	First flower
A520_1	Flood tolerance 4-4	Flood tolerance
A520_1	Flood tolerance 4-4	Flood tolerance
A520_1	Node number 1-1	Node number
A520_1	Plant height 20-2	Plant height
A520_1	Pod maturity 17-3	Pod maturity
A520_1	Pod maturity 18-2	Pod maturity
A520_1	Seed palmitic 6-2	Seed palmitic
A520_1	Seed protein 25-2	Seed protein
A538_1	Flood tolerance 4-1	Flood tolerance
A538_1	Flood tolerance 4-1	Flood tolerance
A566_2	cqSeed oil-002	Seed oil
A566_2	Seed oil 6-5	Seed oil
A566_2	Seed protein 5-2	Seed protein
A567_1	SCN 2-2	SCN
A584_1	Seed oil 4-7	Seed oil
A584_3	Canopy height 2-1	Canopy height
A584_3	Corn earworm 1-1	Corn earworm
A584_3	Corn earworm 2-3	Corn earworm
A584_3	Corn earworm 4-1	Corn earworm
A584_3	Corn earworm 6-3	Corn earworm
A584_3	Corn earworm 9-4	Corn earworm
A584_3	First flower 2-2	First flower
A584_3	Leaflet area 8-2	Leaflet area
A584_3	Pod maturity 2-1	Pod maturity
A584_3	Seed fill 2-2	Seed fill
A584_3	Seed yield 1-2	Seed yield
A588_1	SDS 13-8	SDS
A593_1	Fe effic 3-1	Fe effic
A593_1	Fe effic 8-1	Fe effic
A593_1	SCN 10-1	SCN
A597_1	Lodging 5-13	Lodging
A619_1	Seed oleic 1-5	Seed oleic
A635_1	Leaflet area 3-4	Leaflet area
A635_1	Row spacing response 2-1	Row spacing response
A635_1	SCN 9-6	SCN
A635_1	Seed weight 2-2	Seed weight
A638_2	Leaflet ash 1-8	Leaflet ash
A656_1	SCN 18-4	SCN
A656_1	SCN 21-3	SCN
A668_1	Sprout yield 1-3	Sprout yield
A670_3	Corn earworm 3-1	Corn earworm
A681_1	Phytoph 13-5	Phytoph
A685_1	Flood tolerance 4-5	Flood tolerance
A685_1	Flood tolerance 4-5	Flood tolerance
A688_1	Pod maturity 12-1	Pod maturity
A688_1	Seed protein 1-4	Seed protein
A688_1	Seed yield 10-1	Seed yield
A690_2	Leaflet length 2-2	Leaflet length
A691_1	Seed protein 3-5	Seed protein
A6b	Seed yield 3-3	Seed yield
A702_1	Fe effic 9-1	Fe effic
A708_1	Phomopsis seed decay 1-1	Phomopsis seed decay
A708_1	Phomopsis seed decay 2-1	Phomopsis seed decay
A715_1	Flood tolerance 4-6	Flood tolerance
A715_1	Flood tolerance 4-6	Flood tolerance
A725_1	Seed oil 26-1	Seed oil
A725_1	Seed protein 25-3	Seed protein
A725_2	Jav root-knot nematode 1-1	Jav root-knot nematode
A725_5	Pod dehiscence 1-11	Pod dehiscence
A748_1	Bean pyralid 1-4	Bean pyralid
A748_1	Node number 1-3	Node number
A748_1	Plant height 20-3	Plant height
A748_1	Pods per node 1-2	Pods per node
A748_1	Seed yield 18-1	Seed yield
A748_2	mqSeed Oil-018	Seed Oil
A748_2	Seed oil 24-28	Seed oil
A757_1	Corn earworm 2-1	Corn earworm
A757_1	Jav root-knot nematode 1-5	Jav root-knot nematode
A757_1	Peanut root-knot nematode 1-3	Peanut root-knot nematode
A757_3	Hypocotyl length 1-3	Hypocotyl length
A806_1	Jav root-knot nematode 1-2	Jav root-knot nematode
A808_1	mqSeed Oil-024	Seed Oil
A808_2	Corn earworm 1-3	Corn earworm
A808_3	Pod dehiscence 1-12	Pod dehiscence
A816_1	Seed oil 4-8	Seed oil
A816_1	Seed protein 3-8	Seed protein
A816_1	Seed weight 4-2	Seed weight
A847_1	Al tolerance 1-3	Al tolerance
A882_1	Southern root-knot nematode 1-1	Southern root-knot nematode
A882_1	Southern root-knot nematode 2-1	Southern root-knot nematode
A890_1	Seed oil 4-9	Seed oil
A890_1	Seed protein 3-9	Seed protein
A890_1	Southern root-knot nematode 1-3	Southern root-knot nematode
A946_2	Corn earworm 1-1	Corn earworm
A963_1	SCN 12-2	SCN
A963_1	Seed sucrose 1-10	Seed sucrose
A975_1	Seed height 1-4	Seed height
A975_1	Seed height 1-4	Seed height
A975_1	Seed oil 4-2	Seed oil
A975_1	Seed volume 1-4	Seed volume
A975_1	Seed volume 1-4	Seed volume
AB002807	Bean pyralid 1-8	Bean pyralid
AB002807	First flower 16-3	First flower
AB002807	First flower 16-3	First flower
AB002807	Seed protein 34-11	Seed protein
AG36	First flower 8-1	First flower
AI794821	mqSeed Oil-007	Seed Oil
AI794821	Seed weight 50-2	Seed weight
AI856415	mqCanopy wilt-014	Canopy wilt
AW132402	Chlorophyll flourescence ABS/RC 1-1	Chlorophyll flourescence ABS/RC
AW132402	Chlorophyll flourescence ETo/TRo 1-1	Chlorophyll flourescence ETo/TRo
AW132402	Chlorophyll flourescence PIabs 1-1	Chlorophyll flourescence PIabs
AW132402	Chlorophyll flourescence TRo/ABS 1-1	Chlorophyll flourescence TRo/ABS
AW132402	Flood tolerance 7-2	Flood tolerance
AW132402	SCN 39-1	SCN
AW132402	SDS 16-3	SDS
AW132402	Seed daidzein 8-1	Seed daidzein
AW132402	Seed genistein 8-7	Seed genistein
AW132402	Seed isoflavone 7-10	Seed isoflavone
AW186493	Sclero 9-5	Sclero
AW277661	Root diameter change 1-3	Root diameter change
AW734043	Seed oil 36-2	Seed oil
AW781285	SCN 39-6	SCN
AW781285	Seed daidzein 6-2	Seed daidzein
AW781285	Seed length to width ratio 1-1	Seed length to width ratio
AX-90317546	Chlorosis, leaflet UV-B induced 2-1	Chlorosis, leaflet UV-B induced
AX-90317546	Leaflet shape, UV-B induced 2-1	Leaflet shape, UV-B induced
AX-90317546	Plant damage, UV-B induced 2-1	Plant damage, UV-B induced
AX-90437826	Chlorosis, leaflet UV-B induced 2-1	Chlorosis, leaflet UV-B induced
AX-90437826	Leaflet shape, UV-B induced 2-1	Leaflet shape, UV-B induced
AX-90437826	Plant damage, UV-B induced 2-1	Plant damage, UV-B induced
B030_2	Pods per node 1-1	Pods per node
B030_2	Pods per node 2-1	Pods per node
B031_2	Leaflet ash 1-10	Leaflet ash
B031_2	Seed weight 2-5	Seed weight
B031_2	WUE 1-1	WUE
B032_1	SCN 1-2	SCN
B032_1	SCN 5-2	SCN
B032_2	Pod maturity 5-1	Pod maturity
B032_2	Pod maturity 5-3	Pod maturity
B039_1	Canopy width 1-3	Canopy width
B046_1	Sprout yield 1-4	Sprout yield
B053_1	SCN 15-1	SCN
B053_1	SCN 23-3	SCN
B053_1	SCN 24-2	SCN
B053_1	SCN 25-2	SCN
B053_1	SCN 26-3	SCN
B069_1	Fe effic 11-3	Fe effic
B069_1	Fe effic 4-3	Fe effic
B069_1	Fe effic 8-3	Fe effic
B072_1	SCN 10-4	SCN
B072_1	SCN 11-1	SCN
B072_1	Seed oil 7-1	Seed oil
B072_1	Seed protein 6-1	Seed protein
B074_1	Pod dehiscence 1-5	Pod dehiscence
B122_1	Al tolerance 1-5	Al tolerance
B122_1	BSR 1-2	BSR
B122_1	Pod dehiscence 1-7	Pod dehiscence
B122_1	Seed oil 5-2	Seed oil
B124_1	Pod maturity 27-3	Pod maturity
B124_1	Pod maturity 29-3	Pod maturity
B124_2	Chlorimuron sensitivity 1-10	Chlorimuron sensitivity
B124_3	Pod dehiscence 1-3	Pod dehiscence
B131_1	First flower 11-3	First flower
B131_1	First flower 12-1	First flower
B131_1	Lodging 18-1	Lodging
B131_1	Node number 1-4	Node number
B131_1	Node number 2-1	Node number
B131_1	Plant height 20-4	Plant height
B131_1	Plant height 21-1	Plant height
B131_1	Pod maturity 17-4	Pod maturity
B131_1	Pods per node 1-3	Pods per node
B131_1	Pods per node 2-3	Pods per node
B131_1	Pods per node 2-4	Pods per node
B131_1	Seed stearic 5-2	Seed stearic
B131_1	Seed yield 18-2	Seed yield
B132_4	SCN 23-2	SCN
B142_1	Seed protein 4-10	Seed protein
B146_1	Seed weight 21-2	Seed weight
B146_1	Seed weight 22-3	Seed weight
B146_1	Seed weight 22-4	Seed weight
B148_1	Seed protein 6-2	Seed protein
B162_2	SDS 13-3	SDS
B162_2	Seed sucrose 1-8	Seed sucrose
B164_1	Chlorimuron sensitivity 1-9	Chlorimuron sensitivity
B164_1	Plant height 5-12	Plant height
B164_1	Seed sucrose 1-7	Seed sucrose
B166_1	Plant height 5-9	Plant height
B166_1	Pod dehiscence 1-6	Pod dehiscence
B166_1	Seed protein 4-7	Seed protein
B166_1	Seed weight 2-6	Seed weight
B170_1	Seed oil 13-1	Seed oil
B170_1	Seed protein 12-1	Seed protein
B172_2	Seed yield 7-1	Seed yield
B174_1	Seed protein 3-6	Seed protein
B174_3	Jav root-knot nematode 1-8	Jav root-knot nematode
B174_3	Node number 1-7	Node number
B1MK11	mqCanopy wilt-024	Canopy wilt
B2	Seed width 1-1	Seed width
B2	Seed width 1-1	Seed width
B212_1	Corn earworm 2-1	Corn earworm
B212_1	Jav root-knot nematode 1-6	Jav root-knot nematode
B212_1	Jav root-knot nematode 2-1	Jav root-knot nematode
B212_1	Peanut root-knot nematode 1-4	Peanut root-knot nematode
B212_1	Peanut root-knot nematode 2-1	Peanut root-knot nematode
B212_2	Peanut root-knot nematode 2-2	Peanut root-knot nematode
B214_2	mqSeed Oil-019	Seed Oil
B214_2	Seed oil 24-29	Seed oil
B221_1	Seed oil 25-1	Seed oil
BARC-007569-00135	Phytoph 13-2	Phytoph
BARC-010097-00518	cqSeed protein-016	Seed protein
BARC-010097-00518	Seed weight 52-5	Seed weight
BARC-010777-00746	Plant height 38-1	Plant height
BARC-011057-00831	Nodule size 1-4	Nodule size
BARC-011591-00299	Canopy wilt 4-2	Canopy wilt
BARC-012289-01799	SCN 43-1	SCN
BARC-012289-01799	SCN 43-3	SCN
BARC-012289-01799	SCN 43-5	SCN
BARC-012289-01799	SCN 43-7	SCN
BARC-012289-01799	SCN 44-11	SCN
BARC-012289-01799	SCN 44-16	SCN
BARC-012295-01800	SCN 44-11	SCN
BARC-012295-01800	SCN 44-16	SCN
BARC-012295-01800	SCN 44-7	SCN
BARC-012991-00416	First flower 26-8	First flower
BARC-013273-00464	Seed linolenic 12-3	Seed linolenic
BARC-013561-01160	Soybean mosaic virus 1-2	Soybean mosaic virus
BARC-013583-01166	Seed Cys 5-2	Seed Cys
BARC-013583-01166	Seed glycitein 10-3	Seed glycitein
BARC-013583-01166	Seed Met plus Cys 3-2	Seed Met plus Cys
BARC-013587-01169	Seed weight 38-1	Seed weight
BARC-013599-01171	Soybean mosaic virus 1-4	Soybean mosaic virus
BARC-013969-01290	Root nodule weight, dry 2-1	Root nodule weight, dry
BARC-013995-01298	mqCanopy wilt-016	Canopy wilt
BARC-014361-01331	Leaflet weight, specific 2-1	Leaflet weight, specific
BARC-014395-01348	SCN 44-3	SCN
BARC-014447-01366	Seed genistein 10-5	Seed genistein
BARC-014491-01561	First flower 26-7	First flower
BARC-014509-01564	Soybean mosaic virus 1-17	Soybean mosaic virus
BARC-014611-01591	Leaflet area 9-6	Leaflet area
BARC-014611-01591	Leaflet shape 10-4	Leaflet shape
BARC-014611-01591	Plant height 38-5	Plant height
BARC-014705-01623	cqSeed protein-006	Seed protein
BARC-014705-01623	cqSeed protein-009	Seed protein
BARC-014813-01678	Seed glycitein 10-2	Seed glycitein
BARC-014813-01678	Seed oil 39-13	Seed oil
BARC-014837-01682	Soybean mosaic virus 1-6	Soybean mosaic virus
BARC-014847-01910	Soybean mosaic virus 1-7	Soybean mosaic virus
BARC-014885-01914	cqSeed weight-009	Seed weight
BARC-014885-01914	cqSeed weight-012	Seed weight
BARC-014885-01914	Lodging 28-2	Lodging
BARC-014947-01929	First flower 26-9	First flower
BARC-015121-02570	Soybean mosaic virus 1-5	Soybean mosaic virus
BARC-015493-01985	Fusarium lesion length 1-5	Fusarium lesion length
BARC-015945-02020	Foxglove aphid, primary damage, choice 1-4	Foxglove aphid, primary damage, choice
BARC-015945-02020	Foxglove aphid, total damage, choice 1-2	Foxglove aphid, total damage, choice
BARC-015945-02020	Foxglove aphid, total damage, no choice 1-2	Foxglove aphid, total damage, no choice
BARC-016145-02292	Crude protein, R6 1-1	Crude protein, R6
BARC-016145-02292	Seed genistein 10-6	Seed genistein
BARC-016181-02303	Neutral detergent fiber, R6 1-3	Neutral detergent fiber, R6
BARC-016199-02307	cqSeed protein-004	Seed protein
BARC-016199-02307	SCN 44-4	SCN
BARC-016279-02316	mqCanopy wilt-020	Canopy wilt
BARC-016475-02622	Seed weight 52-1	Seed weight
BARC-016539-02087	Seed oil 39-2	Seed oil
BARC-016563-02128	Soybean mosaic virus 1-8	Soybean mosaic virus
BARC-016573-02144	SDS 13-4	SDS
BARC-016777-02328	First flower 26-3	First flower
BARC-016867-02359	Foxglove aphid, primary damage, choice 1-6	Foxglove aphid, primary damage, choice
BARC-016957-02165	cqSeed weight-013	Seed weight
BARC-017023-02178	SDS 13-15	SDS
BARC-017525-03061	Leaf Damage, ozone, 2nd trifoliate leaf 1-1	Leaf Damage, ozone, 2nd trifoliate leaf
BARC-017525-03061	Leaf Damage, ozone, 3rd trifoliate leaf 1-1	Leaf Damage, ozone, 3rd trifoliate leaf
BARC-017935-02459	Seed Cys 3-1	Seed Cys
BARC-017935-02459	Seed Met 3-1	Seed Met
BARC-017957-02480	Soybean mosaic virus 1-3	Soybean mosaic virus
BARC-017957-02482	SCN 44-4	SCN
BARC-018187-02537	SDS 13-4	SDS
BARC-018211-03157	Seed Thr 3-1	Seed Thr
BARC-018353-03589	Seed protein 39-1	Seed protein
BARC-018461-02916	Seed Met 5-1	Seed Met
BARC-018713-03241	Nodule size 1-8	Nodule size
BARC-018741-02997	Seed weight 52-6	Seed weight
BARC-018889-03033	Soybean mosaic virus 1-13	Soybean mosaic virus
BARC-018895-03034	Neutral detergent fiber, R6 1-4	Neutral detergent fiber, R6
BARC-018895-03034	Seed linolenic 12-12	Seed linolenic
BARC-018901-03270	cqSeed oil-013	Seed oil
BARC-018923-03037	cqSeed protein-008	Seed protein
BARC-018959-03045	Soybean mosaic virus 1-12	Soybean mosaic virus
BARC-019229-03401	SCN 44-1	SCN
BARC-019229-03401	SCN 44-13	SCN
BARC-019229-03401	SCN 44-9	SCN
BARC-019415-03923	Canopy wilt 3-1	Canopy wilt
BARC-019415-03923	SCN 43-4	SCN
BARC-019475-03618	SCN 43-2	SCN
BARC-020031-04407	First flower 26-1	First flower
BARC-020103-04462	Canopy wilt 3-4	Canopy wilt
BARC-020103-04462	Canopy wilt 3-8	Canopy wilt
BARC-020713-04700	Seed Met 4-4	Seed Met
BARC-020713-04700	Seed Met plus Cys 2-2	Seed Met plus Cys
BARC-020713-04700	Seed Thr 3-4	Seed Thr
BARC-021149-03992	Soybean mosaic virus 1-10	Soybean mosaic virus
