#ID	pathway	protein
6860383	Strigolactone signaling	Phvul.007G198900.1
6860383	Strigolactone signaling	Phvul.011G129700.1
6860383	Strigolactone signaling	Phvul.005G180100.1
6860383	Strigolactone signaling	Phvul.001G243900.1
6860383	Strigolactone signaling	Phvul.007G261900.1
6860383	Strigolactone signaling	Phvul.003G237900.1
6860383	Strigolactone signaling	Phvul.008G159300.1
6860383	Strigolactone signaling	Phvul.009G136900.1
6860383	Strigolactone signaling	Phvul.002G013800.1
6860383	Strigolactone signaling	Phvul.008G261000.1
6860383	Strigolactone signaling	Phvul.001G227000.1
6860383	Strigolactone signaling	Phvul.001G027400.1
6860322	S-methylmethionine cycle	Phvul.003G036100.1
6860322	S-methylmethionine cycle	Phvul.001G153900.1
6860322	S-methylmethionine cycle	Phvul.006G221800.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.002G016400.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.008G175300.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.008G174700.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182600.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182500.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182100.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182200.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G183000.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182700.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.008G175600.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182300.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G238900.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G238800.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.008G175500.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.001G182400.1
6860212	cytokinins-O-glucoside biosynthesis	Phvul.002G016500.1
6860348	putrescine biosynthesis I	Phvul.009G002500.1
6860269	trans,trans-farnesyl diphosphate biosynthesis	Phvul.006G136300.1
6860269	trans,trans-farnesyl diphosphate biosynthesis	Phvul.003G251500.1
6860269	trans,trans-farnesyl diphosphate biosynthesis	Phvul.002G181400.1
6860269	trans,trans-farnesyl diphosphate biosynthesis	Phvul.002G026400.1
6860269	trans,trans-farnesyl diphosphate biosynthesis	Phvul.003G239100.1
6860290	leucine biosynthesis	Phvul.007G232000.1
6860290	leucine biosynthesis	Phvul.010G153800.1
6860290	leucine biosynthesis	Phvul.011G103700.1
6860290	leucine biosynthesis	Phvul.009G075100.1
6860290	leucine biosynthesis	Phvul.003G268900.1
6860290	leucine biosynthesis	Phvul.002G008700.1
6860290	leucine biosynthesis	Phvul.005G115100.1
6860290	leucine biosynthesis	Phvul.007G004600.1
6860290	leucine biosynthesis	Phvul.007G150400.1
6860290	leucine biosynthesis	Phvul.002G114600.1
6860290	leucine biosynthesis	Phvul.008G291500.1
6860335	beta-alanine biosynthesis II	Phvul.002G254200.1
6860335	beta-alanine biosynthesis II	Phvul.006G022500.1
6860335	beta-alanine biosynthesis II	Phvul.010G076000.1
6860335	beta-alanine biosynthesis II	Phvul.010G033500.1
6860335	beta-alanine biosynthesis II	Phvul.004G164800.1
6860262	UDP-D-glucuronate biosynthesis (from myo-inositol)	Phvul.009G130500.1
6860262	UDP-D-glucuronate biosynthesis (from myo-inositol)	Phvul.004G004700.1
6860262	UDP-D-glucuronate biosynthesis (from myo-inositol)	Phvul.010G143500.1
6860360	homocysteine biosynthesis	Phvul.003G254000.1
6860316	ethylene biosynthesis from methionine	Phvul.006G144900.1
6860316	ethylene biosynthesis from methionine	Phvul.007G210700.1
6860316	ethylene biosynthesis from methionine	Phvul.002G326600.1
6860316	ethylene biosynthesis from methionine	Phvul.001G222800.1
6860316	ethylene biosynthesis from methionine	Phvul.001G216700.1
6860316	ethylene biosynthesis from methionine	Phvul.004G172300.1
6860316	ethylene biosynthesis from methionine	Phvul.003G120000.1
6860316	ethylene biosynthesis from methionine	Phvul.003G120300.1
6860316	ethylene biosynthesis from methionine	Phvul.008G214200.1
6860316	ethylene biosynthesis from methionine	Phvul.002G293000.1
6860316	ethylene biosynthesis from methionine	Phvul.001G216600.1
6860316	ethylene biosynthesis from methionine	Phvul.002G305000.1
6860316	ethylene biosynthesis from methionine	Phvul.003G082300.1
6860316	ethylene biosynthesis from methionine	Phvul.003G232400.1
6860288	pantothenate biosynthesis III	Phvul.007G209400.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.007G223800.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.007G105400.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.008G255800.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.003G151000.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.007G249500.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.001G185800.1
6860257	dolichyl-diphosphooligosaccharide biosynthesis	Phvul.005G043300.1
6860356	fructan degradation	Phvul.001G036800.1
6860273	lysine biosynthesis II	Phvul.001G177300.1
6860273	lysine biosynthesis II	Phvul.001G003100.1
6860273	lysine biosynthesis II	Phvul.011G012000.1
6860273	lysine biosynthesis II	Phvul.004G057600.1
6860273	lysine biosynthesis II	Phvul.003G012000.1
6860273	lysine biosynthesis II	Phvul.002G323900.1
6860273	lysine biosynthesis II	Phvul.007G066600.1
6860273	lysine biosynthesis II	Phvul.005G059200.1
6860273	lysine biosynthesis II	Phvul.006G161600.1
6860273	lysine biosynthesis II	Phvul.001G259000.1
6860273	lysine biosynthesis II	Phvul.004G057700.1
6860273	lysine biosynthesis II	Phvul.009G116200.1
6860273	lysine biosynthesis II	Phvul.001G170900.1
6860273	lysine biosynthesis II	Phvul.008G075400.1
6860273	lysine biosynthesis II	Phvul.001G265600.1
6860273	lysine biosynthesis II	Phvul.010G108900.1
6860273	lysine biosynthesis II	Phvul.004G070100.1
6860328	myo-inositol biosynthesis	Phvul.002G261700.1
6860328	myo-inositol biosynthesis	Phvul.001G251000.1
6860204	tetrahydrofolate biosynthesis II	Phvul.009G022100.1
6860204	tetrahydrofolate biosynthesis II	Phvul.001G060700.1
6860204	tetrahydrofolate biosynthesis II	Phvul.011G043000.1
6860204	tetrahydrofolate biosynthesis II	Phvul.008G230100.1
6860204	tetrahydrofolate biosynthesis II	Phvul.007G035300.1
6860204	tetrahydrofolate biosynthesis II	Phvul.007G262100.1
6860204	tetrahydrofolate biosynthesis II	Phvul.002G290300.1
6860204	tetrahydrofolate biosynthesis II	Phvul.001G197300.1
6860204	tetrahydrofolate biosynthesis II	Phvul.008G026000.1
6860204	tetrahydrofolate biosynthesis II	Phvul.001G204200.1
6860204	tetrahydrofolate biosynthesis II	Phvul.003G084100.1
6860204	tetrahydrofolate biosynthesis II	Phvul.007G141400.1
6860204	tetrahydrofolate biosynthesis II	Phvul.009G145600.1
6860204	tetrahydrofolate biosynthesis II	Phvul.007G006400.1
6860370	chlorophyll cycle	Phvul.008G096500.1
6860333	PRPP biosynthesis I	Phvul.010G0403002.1
6860333	PRPP biosynthesis I	Phvul.006G033400.1
6860333	PRPP biosynthesis I	Phvul.002G150900.1
6860256	gibberellin biosynthesis II (early C-3 hydroxylation)	Phvul.002G049000.1
6860256	gibberellin biosynthesis II (early C-3 hydroxylation)	Phvul.004G170700.1
6860256	gibberellin biosynthesis II (early C-3 hydroxylation)	Phvul.007G052000.1
6860248	folate polyglutamylation II	Phvul.005G080600.1
6860248	folate polyglutamylation II	Phvul.005G080700.1
6860248	folate polyglutamylation II	Phvul.001G060700.1
6860248	folate polyglutamylation II	Phvul.008G230100.1
6860234	valine biosynthesis	Phvul.009G166100.1
6860234	valine biosynthesis	Phvul.011G134200.1
6860234	valine biosynthesis	Phvul.005G095900.1
6860234	valine biosynthesis	Phvul.008G095400.1
6860234	valine biosynthesis	Phvul.009G075100.1
6860234	valine biosynthesis	Phvul.011G177600.1
6860234	valine biosynthesis	Phvul.009G222200.1
6860234	valine biosynthesis	Phvul.002G008700.1
6860234	valine biosynthesis	Phvul.008G243300.1
6860234	valine biosynthesis	Phvul.010G078000.1
6860234	valine biosynthesis	Phvul.006G152700.1
6860234	valine biosynthesis	Phvul.002G248000.1
6860234	valine biosynthesis	Phvul.006G187400.1
6860314	linear furanocoumarin biosynthesis	Phvul.008G080300.1
6860314	linear furanocoumarin biosynthesis	Phvul.009G192700.1
6860314	linear furanocoumarin biosynthesis	Phvul.007G262800.1
6860314	linear furanocoumarin biosynthesis	Phvul.001G200100.1
6860280	gentiodelphin biosynthesis	Phvul.008G032500.1
6860280	gentiodelphin biosynthesis	Phvul.008G032400.1
6860280	gentiodelphin biosynthesis	Phvul.004G040100.1
6860280	gentiodelphin biosynthesis	Phvul.008G042400.1
6860280	gentiodelphin biosynthesis	Phvul.008G032200.1
6860280	gentiodelphin biosynthesis	Phvul.004G040700.1
6860280	gentiodelphin biosynthesis	Phvul.008G032100.1
6860280	gentiodelphin biosynthesis	Phvul.008G029400.1
6860280	gentiodelphin biosynthesis	Phvul.005G108800.1
6860280	gentiodelphin biosynthesis	Phvul.008G032000.1
6860280	gentiodelphin biosynthesis	Phvul.004G040200.1
6860280	gentiodelphin biosynthesis	Phvul.001G265400.1
6860280	gentiodelphin biosynthesis	Phvul.008G031900.1
6860345	lipid-A-precursor biosynthesis	Phvul.003G026900.1
6860345	lipid-A-precursor biosynthesis	Phvul.006G045700.1
6860357	trehalose biosynthesis I	Phvul.005G008300.1
6860357	trehalose biosynthesis I	Phvul.009G180300.1
6860357	trehalose biosynthesis I	Phvul.003G053000.1
6860357	trehalose biosynthesis I	Phvul.005G076500.1
6860357	trehalose biosynthesis I	Phvul.011G006000.1
6860357	trehalose biosynthesis I	Phvul.003G016300.1
6860357	trehalose biosynthesis I	Phvul.002G243600.1
6860357	trehalose biosynthesis I	Phvul.011G127700.1
6860357	trehalose biosynthesis I	Phvul.007G031800.1
6860357	trehalose biosynthesis I	Phvul.011G170300.1
6860357	trehalose biosynthesis I	Phvul.002G102300.1
6860357	trehalose biosynthesis I	Phvul.003G150400.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.005G011600.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.003G012300.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.001G101000.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.001G034300.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.003G285500.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.009G079600.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.010G112500.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.006G164300.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.004G102800.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.008G231200.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.004G053300.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.001G045300.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.001G236000.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.003G293600.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.003G291800.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.002G141900.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.008G292500.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.011G186800.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.007G076700.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.011G181800.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.009G065500.1
6860369	Abscisic acid (ABA) mediated signaling	Phvul.009G077200.1
6860275	galactosylcyclitol biosynthesis	Phvul.003G194900.1
6860275	galactosylcyclitol biosynthesis	Phvul.003G071700.1
6860275	galactosylcyclitol biosynthesis	Phvul.009G183900.1
6860275	galactosylcyclitol biosynthesis	Phvul.006G167800.1
6860275	galactosylcyclitol biosynthesis	Phvul.009G026100.1
6860275	galactosylcyclitol biosynthesis	Phvul.002G177500.1
6860275	galactosylcyclitol biosynthesis	Phvul.001G049900.1
6860275	galactosylcyclitol biosynthesis	Phvul.002G079900.1
6860275	galactosylcyclitol biosynthesis	Phvul.008G168500.1
6860377	glutamate biosynthesis I	Phvul.005G052100.1
6860377	glutamate biosynthesis I	Phvul.005G051800.1
6860377	glutamate biosynthesis I	Phvul.002G180300.1
6860359	asparagine degradation I	Phvul.001G047000.1
6860359	asparagine degradation I	Phvul.005G009200.1
6860359	asparagine degradation I	Phvul.001G250600.1
6860359	asparagine degradation I	Phvul.011G127800.1
6860359	asparagine degradation I	Phvul.009G106800.1
6860359	asparagine degradation I	Phvul.002G262100.1
6860378	alanine biosynthesis III	Phvul.002G008200.1
6860378	alanine biosynthesis III	Phvul.006G131100.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.009G036600.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.006G002000.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.002G180400.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.009G099600.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.009G059600.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.002G296600.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.003G012000.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.003G209800.1
6860226	arginine biosynthesis II (acetyl cycle)	Phvul.005G137400.1
6860379	glutamate biosynthesis IV	Phvul.001G076400.1
6860235	GA12 biosynthesis	Phvul.006G123500.1
6860235	GA12 biosynthesis	Phvul.002G005900.1
6860235	GA12 biosynthesis	Phvul.006G123600.1
6860235	GA12 biosynthesis	Phvul.005G183600.1
6860268	trans-zeatin biosynthesis	Phvul.008G005300.1
6860268	trans-zeatin biosynthesis	Phvul.001G149400.1
6860268	trans-zeatin biosynthesis	Phvul.008G005600.1
6860268	trans-zeatin biosynthesis	Phvul.007G028100.1
6860268	trans-zeatin biosynthesis	Phvul.004G064600.1
6860268	trans-zeatin biosynthesis	Phvul.011G091500.1
6860326	cellulose biosynthesis	Phvul.011G211500.1
6860326	cellulose biosynthesis	Phvul.001G211000.1
6860326	cellulose biosynthesis	Phvul.003G023000.1
6860326	cellulose biosynthesis	Phvul.005G022100.1
6860326	cellulose biosynthesis	Phvul.002G240200.1
6860326	cellulose biosynthesis	Phvul.009G094200.1
6860326	cellulose biosynthesis	Phvul.009G242700.1
6860326	cellulose biosynthesis	Phvul.002G040200.1
6860326	cellulose biosynthesis	Phvul.009G090100.1
6860326	cellulose biosynthesis	Phvul.008G193000.1
6860326	cellulose biosynthesis	Phvul.011G020100.1
6860326	cellulose biosynthesis	Phvul.002G188600.1
6860323	divinyl ether biosynthesis II (13-LOX)	Phvul.009G262900.1
6860323	divinyl ether biosynthesis II (13-LOX)	Phvul.010G128800.1
6860323	divinyl ether biosynthesis II (13-LOX)	Phvul.006G017100.1
6860323	divinyl ether biosynthesis II (13-LOX)	Phvul.006G016900.1
6860364	putrescine biosynthesis III	Phvul.009G020400.1
6860364	putrescine biosynthesis III	Phvul.009G020500.1
6860229	mevalonate pathway	Phvul.002G153600.1
6860229	mevalonate pathway	Phvul.002G118900.1
6860229	mevalonate pathway	Phvul.009G055300.1
6860229	mevalonate pathway	Phvul.003G271800.1
6860229	mevalonate pathway	Phvul.L002800.1
6860229	mevalonate pathway	Phvul.008G208900.1
6860229	mevalonate pathway	Phvul.006G008200.1
